GivenName,Surname,Initials,DisplayName,Name,SamAccountName,UserPrincipalName,AccountPassword,Path
Kristina,Chung,H,Kristina H. Chung,"Chung, Kristina H.",KHChung,KHChung@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Paige,Chen,H,Paige H. Chen,"Chen, Paige H.",PHChen,PHChen@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Sherri,Melton,T,Sherri T. Melton,"Melton, Sherri T.",STMelton,STMelton@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Gretchen,Hill,Y,Gretchen Y. Hill,"Hill, Gretchen Y.",GYHill,GYHill@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Karen,Puckett,U,Karen U. Puckett,"Puckett, Karen U.",KUPuckett,KUPuckett@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Patrick,Song,O,Patrick O. Song,"Song, Patrick O.",POSong,POSong@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Elsie,Hamilton,A,Elsie A. Hamilton,"Hamilton, Elsie A.",EAHamilton,EAHamilton@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Hazel,Bender,E,Hazel E. Bender,"Bender, Hazel E.",HEBender,HEBender@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Malcolm,Wagner,A,Malcolm A. Wagner,"Wagner, Malcolm A.",MAWagner,MAWagner@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Dolores,McLaughlin,C,Dolores C. McLaughlin,"McLaughlin, Dolores C.",DCMcLaughlin,DCMcLaughlin@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Francis,McNamara,C,Francis C. McNamara,"McNamara, Francis C.",FCMcNamara,FCMcNamara@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Sandy,Raynor,W,Sandy W. Raynor,"Raynor, Sandy W.",SWRaynor,SWRaynor@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Marion,Moon,O,Marion O. Moon,"Moon, Marion O.",MOMoon,MOMoon@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Beth,Woodard,F,Beth F. Woodard,"Woodard, Beth F.",BFWoodard,BFWoodard@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Julia,Desai,G,Julia G. Desai,"Desai, Julia G.",JGDesai,JGDesai@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Jerome,Wallace,I,Jerome I. Wallace,"Wallace, Jerome I.",JIWallace,JIWallace@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Neal,Lawrence,F,Neal F. Lawrence,"Lawrence, Neal F.",NFLawrence,NFLawrence@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Jean,Griffin,S,Jean S. Griffin,"Griffin, Jean S.",JSGriffin,JSGriffin@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
Kristine,Dougherty,K,Kristine K. Dougherty,"Dougherty, Kristine K.",KKDougherty,KKDougherty@contosoad.com,pass@word1,"OU=Company Users,DC=contosoad,DC=com"
